taken_at,Date,event_id,starts,League,Player1,Player2,PS1,PS2
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637155669,2026-09-23 19:00:00+00:00,ATP Challenger San Diego - R1,Abdullah Shelbayh,Andres Andrade,1.6289,2.33
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175380,2026-09-24 11:30:00+00:00,ATP Hangzhou - R1,Zhizhen Zhang,Chak Lam Coleman Wong,2.39,1.6369
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175381,2026-09-24 08:00:00+00:00,ATP Hangzhou - R1,Yunchaokete Bu,Michael Zheng,2.29,1.6897
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175382,2026-09-24 08:00:00+00:00,ATP Hangzhou - R1,Mattia Bellucci,Kamil Majchrzak,2.24,1.7143
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175383,2026-09-24 08:30:00+00:00,ATP Hangzhou - R1,Jie Cui,Adolfo Daniel Vallejo,3.55,1.3356
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175384,2026-09-24 05:30:00+00:00,ATP Hangzhou - R1,Jaime Faria,Terence Atmane,2.18,1.7519
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175396,2026-09-23 22:30:00+00:00,ATP Challenger San Diego - R16,Keegan Smith,Dylan Dietrich,2.3,1.6329
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175410,2026-09-24 09:00:00+00:00,Billie Jean King Cup - Tie,Italy,China,2.03,1.7874
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175412,2026-09-24 01:00:00+00:00,ATP Chengdu Open - R1,James Duckworth,Lorenzo Sonego,2.16,1.7692
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175510,2026-09-24 05:00:00+00:00,ATP Hangzhou - R1,Sho Shimabukuro,Hugo Gaston,2.02,1.8696
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175534,2026-09-24 02:00:00+00:00,Billie Jean King Cup - Tie,Ukraine,Belgium,1.1848,4.8
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175536,2026-09-24 01:00:00+00:00,ATP Chengdu Open - R1,Tallon Griekspoor,Denis Shapovalov,2.24,1.7194
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175537,2026-09-24 01:00:00+00:00,ATP Chengdu Open - R1,Nuno Borges,Camilo Ugo Carabelli,1.2342,4.56
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175538,2026-09-24 08:30:00+00:00,ATP Chengdu Open - R1,Juan Manuel Cerundolo,Yi Zhou,1.4854,2.81
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637175539,2026-09-24 08:00:00+00:00,ATP Chengdu Open - R1,Alexander Shevchenko,Hubert Hurkacz,5.17,1.1969
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637178724,2026-09-24 01:00:00+00:00,ATP Chengdu Open - R1,Juncheng Shang,Adrian Mannarino,1.4065,3.14
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637178765,2026-09-24 05:00:00+00:00,WTA Seoul - R16,Yeonwoo Ku,Elena-Gabriela Ruse,4.38,1.2481
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637181742,2026-09-24 02:00:00+00:00,WTA Singapore - R16,Xinyu Wang,Joanna Garland,1.3205,3.73
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637181766,2026-09-24 10:30:00+00:00,WTA Singapore - R16,Tatiana Prozorova,Alexandra Eala,4.51,1.2457
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637181776,2026-09-24 07:00:00+00:00,WTA Seoul - R16,Jelena Ostapenko,Taylah Preston,1.3704,3.34
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637183938,2026-09-24 03:00:00+00:00,WTA Seoul - R16,Yexin Ma,Kimberly Birrell,3.03,1.431
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637185195,2026-09-24 01:00:00+00:00,WTA Seoul - R16,Anna Bondar,Alina Charaeva,1.5618,2.58
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637190747,2026-09-23 19:00:00+00:00,ATP Challenger Genoa - R16,Lukas Neumayer,Juan Cruz Martin Manzano,1.2717,3.88
