Date,event_id,starts,League,Player1,Player2,PS1,PS2
2026-09-26,1637221052,2026-09-26 03:00:00+00:00,WTA Seoul - QF,Lanlana Tararudee,Maya Joint,1.8197,2.08
2026-09-26,1637241158,2026-09-26 02:00:00+00:00,ATP Hangzhou - R16,Daniil Medvedev,Valentin Royer,1.2841,3.99
2026-09-25,1637265127,2026-09-25 12:15:00+00:00,ATP Hangzhou - R16,Jaime Faria,Hugo Gaston,1.5376,2.64
2026-09-26,1637269543,2026-09-26 06:30:00+00:00,ATP Chengdu Open - R16,Federico Cina,Alexandre Muller,1.9901,1.9009
2026-09-25,1637281622,2026-09-25 12:08:07+00:00,WTA 125K Porto - QF,Reese Brantmeier,Angelina Voloshchuk,1.4367,2.88
2026-09-25,1637248813,2026-09-25 13:30:00+00:00,WTA 125K Porto - QF,Maria Timofeeva,Gabriela Knutson,1.3831,3.12
2026-09-25,1637259174,2026-09-25 12:15:00+00:00,WTA 125k Tolentino - QF,Mia Ristic,Jessica Pieri,1.155,5.53
2026-09-25,1637241148,2026-09-25 12:30:00+00:00,ATP Challenger St Tropez - QF,Dino Prizmic,Daniil Glinka,1.2242,4.72
2026-09-25,1637248881,2026-09-25 15:30:00+00:00,ATP Challenger St Tropez - QF,Titouan Droguet,Mark Lajal,1.8547,2.04
2026-09-25,1637269461,2026-09-25 19:00:00+00:00,ATP Challenger Buenos Aires - QF,Joaquin Aguilar Cardozo,Juan Pablo Varillas,1.6803,2.28
2026-09-25,1637262825,2026-09-25 17:00:00+00:00,ATP Challenger Buenos Aires - QF,Facundo Mena,Nicolas Kicker,1.6944,2.25
2026-09-26,1637268708,2026-09-25 23:00:00+00:00,ATP Challenger San Diego - QF,Dylan Dietrich,Henry Searle,1.6329,2.37
2026-09-25,1637260755,2026-09-25 19:00:00+00:00,ATP Challenger San Diego - QF,Igor Marcondes,Federico Agustin Gomez,2.37,1.6329
2026-09-26,1637277946,2026-09-26 02:00:00+00:00,ATP Hangzhou - R16,Quentin Halys,Roman Safiullin,2.14,1.7752
2026-09-26,1637269527,2026-09-26 02:00:00+00:00,ATP Hangzhou - R16,Yunchaokete Bu,Kamil Majchrzak,2.09,1.813
2026-09-26,1637281601,2026-09-26 01:00:00+00:00,ATP Chengdu Open - R16,Valentin Vacherot,Lloyd Harris,1.9091,1.9804
2026-09-25,1637281647,2026-09-25 12:15:00+00:00,WTA Singapore - QF,Maria Sakkari,Talia Gibson,1.4695,2.91
2026-09-26,1637272171,2026-09-26 06:30:00+00:00,ATP Chengdu Open - R16,Martin Damm,Hubert Hurkacz,3.34,1.3704
2026-09-25,1637277976,2026-09-25 13:00:00+00:00,ATP Challenger Genoa - QF,Mika Petkovic,Francesco Forti,2.24,1.6993
2026-09-25,1637277999,2026-09-25 14:00:00+00:00,ATP Challenger Plovdiv - QF,Felix Gill,Jonas Forejtek,1.5988,2.45
2026-09-25,1637297133,2026-09-25 13:00:00+00:00,Men's Exhibition Laver Cup,Casper Ruud,Francisco Cerundolo,1.8696,2.0
2026-09-25,1637295547,2026-09-25 13:30:00+00:00,Men's Exhibition Laver Cup,Jakub Mensik,Brandon Nakashima,1.6849,2.27
2026-09-25,1637297134,2026-09-25 18:00:00+00:00,Men's Exhibition Laver Cup,Rafael Jodar,Alexander Bublik,1.5263,2.61
2026-09-25,1637295539,2026-09-25 15:30:00+00:00,WTA 125k Tolentino - QF,Ekaterine Gorgodze,Oksana Selekhmeteva,2.79,1.4608
2026-09-25,1637295550,2026-09-25 17:30:00+00:00,WTA 125k Tolentino - QF,Nuria Brancaccio,Julia Grabher,2.17,1.7042
2026-09-25,1637281641,2026-09-25 13:30:00+00:00,WTA 125K Porto - QF,Mia Pohankova,Katie Swan,1.8333,2.01
2026-09-25,1637281653,2026-09-25 13:30:00+00:00,WTA 125K Ankara - QF,Deniz Dilek,Anastasia Gasanova,5.19,1.1761
2026-09-25,1637281644,2026-09-25 12:30:00+00:00,ITF Men Sabadell - QF,Sander Jong,Ioannis Xilas,1.3831,3.08
2026-09-25,1637297110,2026-09-25 14:00:00+00:00,ITF Men Forbach - QF,Flynn Thomas,Theo Herrmann,1.4132,2.94
2026-09-25,1637281675,2026-09-25 15:00:00+00:00,ITF Men Falun - SF,Eero Vasa,Samir Banerjee,3.41,1.3247
2026-09-25,1637281674,2026-09-25 15:00:00+00:00,ITF Men Falun - SF,Henry Bernet,Andreja Petrovic,1.2198,4.38
2026-09-25,1637290082,2026-09-25 15:30:00+00:00,ITF Women Yecla - QF,Kira Pavlova,Angela Fita Boluda,1.7692,2.08
2026-09-25,1637295545,2026-09-25 15:00:00+00:00,ATP Challenger Buenos Aires - QF,Pedro Boscardin Dias,Eduardo Ribeiro,1.8696,2.01
2026-09-25,1637297136,2026-09-25 16:00:00+00:00,ATP Challenger Genoa - QF,Jay Clarke,Carlo Alberto Caniato,2.01,1.8547
2026-09-26,1637290097,2026-09-25 21:00:00+00:00,ATP Challenger San Diego - QF,Tristan Boyer,Timo Legout,1.885,1.9709
